Name,Price,Cuisine,Award,FacilitiesAndServices,Description,Combined,City,Country,Continent,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year
Restavracija Strelec,$$$,Modern Cuisine,1 Star MICHELIN,"Credit card / Debit card accepted,Garden or park,Great view,Mastercard credit card,Terrace,Visa credit card,Wheelchair access","The climb up to the castle offers a fine introduction to what awaits once you arrive at this restaurant, housed in the picturesque Archers’ Tower, one of Ljubljana’s most iconic tourist sites. Despite its spectacular terrace and stunning setting, it’s the stylish, delicious cuisine that is the real star of the show here, with its balance of local ingredients and more exotic flavours. Chef Jagodic loves the Mediterranean and his technique has a slight French smooth touch. The wine list is well managed by sommeliers who are ready to match every dish with the greatest wines in Slovenia.","46.04829, 14.50869",Ljubljana,Slovenia,Europe,0.3,1.9,6.5,10.8,15.8,19.1,21.3,20.6,16.0,11.2,5.6,1.2,10.9
Gostilna na Gradu,$$,Traditional Cuisine,Bib Gourmand,"Car park,Credit card / Debit card accepted,Diners Club credit card,Mastercard credit card,Terrace,Visa credit card","This restaurant serving top-quality local cuisine is housed in the inner courtyard of Ljubljana castle. Perched on a hill overlooking the city, the castle can be accessed either via a delightful funicular or a pleasant walk uphill.","46.0478785, 14.5092591",Ljubljana,Slovenia,Europe,0.3,1.9,6.5,10.8,15.8,19.1,21.3,20.6,16.0,11.2,5.6,1.2,10.9
TaBar,$$,"Modern Cuisine, Contemporary",Bib Gourmand,"Air conditioning,Credit card / Debit card accepted,Mastercard credit card,Terrace,Visa credit card","This simple, informal and friendly restaurant in the historic centre is perfect for a night out with friends. The cuisine is creative and imaginative, taking inspiration from a wide range of culinary styles. Guests have the option of choosing a variety of small courses tapas style or opting for the more traditional dishes on the à la carte menu.","46.0501886, 14.5061621",Ljubljana,Slovenia,Europe,0.3,1.9,6.5,10.8,15.8,19.1,21.3,20.6,16.0,11.2,5.6,1.2,10.9
Le Palais,$$$$,Cantonese,3 Stars MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card,Wheelchair access","After the departure of the Macanese chef, the kitchen is now helmed by the Hongkonger well-versed in Cantonese cooking. Rest assured that signature dishes like crispy Cantonese-style roast duck, Peking duck and white gourd stuffed with shrimp and crabmeat still taste as good as ever. Pre-order these items to avoid missing out. For dim sum, try Chinese spinach and salted egg dumplings with a colourful filling enrobed in a translucent skin.","25.049071, 121.51696",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Taïrroir,$$$$,Taiwanese contemporary,3 Stars MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card,Wheelchair access","A portmanteau of Taiwan and terroir, Taïrroir is Chef Kai's love letter to his home island. Informed by his two decades of experience in Taiwanese and French cuisines, the menu captures local food culture in ingenious forms, underscored by Western techniques. Dishes that are wittily named to rhyme with idioms feature highly seasonal items from local producers; desserts made with local teas and fruit shine with unmistakably Taiwanese flavours.","25.082896, 121.559303",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Molino de Urdániz,$$$$,Spanish Contemporary,2 Stars MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Restaurant offering vegetarian menus,Valet parking,Visa credit card,Wheelchair access","Spanish-themed paintings hang in the dining area, which boasts a stunning glazed wine cellar. The two chefs take diners on a poetic culinary journey to the Pyrenees of the Basque Country with a seafood-heavy tasting menu. Produce from Taiwan and Japan is woven into edible works of art that embody Spanish traditions, Asian influences and natural beauty. The clever use of colours and seasonal ingredients makes the experience a real delight.","25.0507432, 121.5372068",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
Mudan,$$$$,Tempura,2 Stars MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,JCB,Mastercard credit card,Visa credit card","When it comes to tempura, precision is the name of the game. With decades of experience in Japanese cooking, the head chef brings out the best in every ingredient with his keen sense for oil blend, oil temperature and batter consistency, sealing in the umami with an incredibly thin, crisp and light batter. The simple, cosy room is decorated with Japanese garden details. Reservations are mandatory, with only two sittings, at 12.30pm and 6.30pm.","25.035223, 121.54723",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
logy,$$$,Asian Contemporary,2 Stars MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Counter dining,Credit card / Debit card accepted,Diners Club credit card,Interesting wine list,JCB,Mastercard credit card,Visa credit card","logy, a sibling of the Florilège in Tokyo, is helmed by a Japanese chef hailing from Hokkaido. Using local produce and the freshest catch from his home prefecture, he melds Japanese and European techniques to create contemporary recipes, underscored by strong Asian influences. The omakase menu changes every two months, but a variation of the Japanese-Taiwanese fusion chawanmushi is a firm fixture. Plan far in advance and book online.","25.0356024, 121.5532054",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
L'Atelier de Joël Robuchon,$$$$,French Contemporary,2 Stars MICHELIN,"Air conditioning,American Express credit card,Car park,China UnionPay,Counter dining,Credit card / Debit card accepted,Interesting wine list,JCB,Mastercard credit card,Visa credit card","The moody interior uses the same iconic black and red colour scheme as the other members of the group – sit at the counter to appreciate the atmosphere to the fullest. French classics are re-invented with care and a great deal of aplomb; service is engaging and thoughtful. The kitchen is helmed by a Japanese head chef with 20+ years of experience who imbues the distinctive cooking, especially seafood courses, with Japanese twists.","25.039609, 121.56814",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
RAW,$$$$,Innovative,2 Stars MICHELIN,"Air conditioning,American Express credit card,China UnionPay,Credit card / Debit card accepted,JCB,Mastercard credit card,Visa credit card,Wheelchair access","André Chiang’s dining concept in his hometown features a futuristic interior with gigantic organic wood forms that contrast with the faux industrial setting. Inspired by the chef’s journey around the world, the 10-course menu changes with the seasons, reinventing Taiwanese cuisine with sleek plating and a stimulating blend of flavours, textures and temperatures. It’s notoriously hard to get a table so stay tuned for when the online system opens for booking and act fast.","25.0827948, 121.5594375",Taipei,Taiwan,Asia,16.1,16.5,18.5,21.9,25.2,27.7,29.6,29.2,27.4,24.5,21.5,17.9,23.0
